target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,117000,0,0,1,0.7981630824,45.963223295,3.0015794595,0,0,0.8317164458,1145
0,OTHER,elementary,,60000,0,0,0,38.924798387,36.976165881,0.6947451157,0,0,9.2630511266,1156
0,OTHER,advanced,,20000,0,0,1,0.9562275986,27.732240437,4.894355865,0,0,7.5710382514,1158
0,OTHER,elementary,Corporate,117993,0,1,1,0.7321012545,28.807785014,4.9283329591,0,0,6.6516206303,1160
0,2NDFL,elementary,,183527,0,0,1,0.5074148746,38.109154877,5.8571000823,0,0,0.3064151508,1161
0,2NDFL,elementary,,183527,0,0,1,0.5074148746,38.109154877,5.8571000823,0,0,0.3064151508,1162
0,OTHER,elementary,Corporate,131876,0,1,0,,34.997260274,6.7726027397,0,0,11.556164384,1170
0,2NDFL,advanced,,17524,0,0,1,2.0503360215,29.835616438,1.8876712329,0,0,2.0876712329,1171
0,OTHER,elementary,Corporate,250738,0,1,0,20.887074373,49.001033011,0.8311699978,0,2,3.2147316416,1173
0,OTHER,elementary,,96241,0,0,,,28.252054795,1.5601691743,,,1.2350325623,1175
0,OTHER,elementary,Corporate,127435,0,1,0,1.4134408602,43.373486039,0.9625271353,0,0,9.2091024777,1177
0,OTHER,advanced,,30000,0,0,,,33.010958904,0.9561643836,,,2.7260273973,1179
0,OTHER,advanced,,100000,0,0,1,0.4722670251,35.830601093,5.749524665,0,0,10.338565761,1190
