Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
19;1095939;Поступление зарплаты на счет;Ремонт;0;0.39;мужской;0;0;незаконченное высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1095959;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.51;мужской;2;0;высшее;менеджер среднего звена;>250;0;194;35;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1095979;2НДФЛ;Ремонт;1;0.5;мужской;1;0;высшее;менеджер среднего звена;>250;0;12;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1095999;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.32;мужской;0;0;высшее;вспомогательный персонал;>250;1;183;56;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096019;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;114;40;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096039;2НДФЛ;Ремонт;0;0.4;женский;0;0;высшее;специалист;>250;0;70;29;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096059;Поступление зарплаты на счет;Покупка бытовой техники;1;0.4;мужской;2;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096079;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.31;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096099;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.11;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096119;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.16;мужской;0;0;высшее;менеджер среднего звена;>250;0;7;25;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;11;1;0;0;10;10;0;0;0;0;0;0;0
19;1096139;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;2;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096159;2НДФЛ;Покупка земли;1;0.32;женский;2;0;среднее-специальное;торговый представитель;< 50;0;38;36;Торговля;ООО;женат / замужем;1;1;1;1;1;0.0172413793;1;0;0;0;0.6666666667;2;1;57;3;1;0;10;49;1;0;0;0;0;0;0
19;1096179;Поступление зарплаты на счет;Ремонт;1;0.35;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;43;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096199;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.58;женский;0;0;высшее;специалист;>250;0;91;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096219;Форма банка (без печати работодателя);Ремонт;0;0.27;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;127;56;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096239;Поступление зарплаты на счет;Ремонт;0;0.43;мужской;0;0;ученая степень;специалист;>250;1;92;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096259;Форма банка (без печати работодателя);Ремонт;1;0.47;мужской;2;0;высшее;менеджер высшего звена;< 50;0;50;36;Другое;ООО;женат / замужем;2;2;2;1;1;0.1153846154;1;0;0;0;0.6;3;2;138;5;1;0;17;87;1;0;0;0;0;0;0
19;1096279;Форма банка (без печати работодателя);Другое;1;0.37;мужской;2;0;среднее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096299;2НДФЛ;Ремонт;1;0.59;мужской;2;0;среднее;рабочий;>250;3;170;42;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096319;Поступление зарплаты на счет;Ремонт;0;0.28;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;10;47;Торговля;ООО;женат / замужем;1;1;0;0;0;0.1764705882;0;0;0;0;0.5;1;1;14;2;0;0;11;90;1;1;0;0;0;0;0
19;1096339;Поступление зарплаты на счет;Покупка автомобиля;0;0.34;мужской;0;0;высшее;менеджер среднего звена;>250;0;24;26;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.03125;0;0;0;0;0;0;2;31;2;0;0;39;60;1;0;0;0;0;0;0
19;1096359;Форма банка (без печати работодателя);Ремонт;0;0.26;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096379;Форма банка (без печати работодателя);Ремонт;1;0.47;мужской;0;0;среднее-специальное;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096399;Поступление зарплаты на счет;Ремонт;0;0.49;женский;0;0;среднее-специальное;менеджер среднего звена;>250;0;95;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096419;Поступление зарплаты на счет;Ремонт;1;0.56;женский;0;0;высшее;менеджер среднего звена;>250;0;11;50;Торговля;ООО;женат / замужем;2;0;0;0;0;0.2222222222;0;2;1;0;0.5714285714;4;3;63;7;2;0;2;94;1;1;0;0;0;0;0
19;1096439;2НДФЛ;Ремонт;1;0.47;женский;1;0;высшее;специалист;< 50;3;8;34;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096459;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.53;мужской;1;0;высшее;менеджер среднего звена;>250;1;54;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096479;2НДФЛ;Ремонт;1;0.37;мужской;0;0;высшее;рабочий;>250;0;29;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096499;Поступление зарплаты на счет;Покупка автомобиля;0;0.44;женский;1;0;высшее;специалист;>250;0;79;44;Информационные технологии;ООО;женат / замужем;1;0;0;0;0;0.0265957447;0;1;1;1;0.4285714286;3;4;183;7;0;3;1;96;1;0;0;0;0;0;0
19;1096519;Форма банка (без печати работодателя);Покупка земли;0;0.12;мужской;1;0;высшее;менеджер высшего звена;< 50;0;214;53;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096539;Форма банка (без печати работодателя);Ремонт;1;0.33;мужской;0;0;высшее;специалист;< 50;0;6;25;Торговля;ООО;холост / не замужем;1;1;0;0;0;0.4457831325;1;0;0;0;1;3;0;46;3;1;0;25;29;1;1;0;0;0;0;0
19;1096559;Поступление зарплаты на счет;Покупка автомобиля;1;0.37;мужской;0;0;высшее;вспомогательный персонал;>250;0;35;28;Торговля;ООО;женат / замужем;1;0;0;0;0;0;0;1;0;0;0.4;2;3;26;5;0;0;5;75;0;0;0;0;0;0;0
19;1096579;2НДФЛ;Ремонт;1;0.34;мужской;0;0;среднее-специальное;рабочий;< 50;1;56;42;Другое;ООО;гражданский брак;1;0;0;0;0;0;0;0;0;0;0.1111111111;1;8;78;9;1;2;7;103;0;0;0;0;0;0;0
19;1096599;Поступление зарплаты на счет;Ремонт;1;0.34;мужской;0;0;высшее;специалист;>250;0;8;23;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1096619;Поступление зарплаты на счет;Покупка автомобиля;0;0.22;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;38;46;Другое;Государственное предприятие;холост / не замужем;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;
19;1096639;Поступление зарплаты на счет;Ремонт;0;0.16;мужской;1;0;высшее;специалист;>250;1;216;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
